date,idx,nonrspo,composite
2014-10-16,1025.886499,943.5571082,951.36049
2014-10-17,1035.146542,961.1080711,962.5634793
2014-10-20,1049.984049,974.5301889,977.984388
2014-10-21,1048.260044,974.7799852,978.7850353
2014-10-22,1048.619946,974.8027087,978.3760164
2014-10-23,1049.902406,979.7288101,982.8476059
2014-10-24,1053.574403,988.4726915,989.4630374
2014-10-27,1061.601066,1004.881854,1001.174039
2014-10-28,1066.894121,998.2320847,1004.346507
2014-10-29,1081.537612,1010.387963,1019.569326
2014-10-30,1083.077444,1019.836063,1022.241994
2014-10-31,1088.412799,1025.776659,1028.695144
2014-11-03,1074.681753,1013.073294,1016.77635
2014-11-04,1068.942824,1004.584444,1009.192744
2014-11-05,1062.930731,993.5937035,1002.295299
2014-11-06,1062.934636,998.1622668,1005.501438
2014-11-07,1059.116466,999.0081786,1005.198753
2014-11-10,1058.627502,996.7939072,1003.178659
2014-11-11,1058.204455,988.3685961,999.5538325
2014-11-12,1062.134329,993.1003299,1002.386006
2014-11-13,1048.009394,980.5972696,987.0681349
2014-11-14,1037.994534,974.3016255,978.4932665
2014-11-17,1034.925047,965.1532441,973.4701624
2014-11-18,1039.021024,963.8575479,977.5609414
2014-11-19,1033.943981,964.27126,973.5454564
2014-11-20,1020.557611,957.1219342,964.2268109
2014-11-21,1024.823354,951.9738564,965.7646492
2014-11-24,1032.47739,962.4896813,975.8157828
2014-11-25,1036.068769,964.1539807,979.0744432
2014-11-26,1036.826622,963.361815,979.8085496
2014-11-27,1037.092367,956.5707942,977.1036894
2014-11-28,1029.474704,933.1498148,965.3499742
2014-12-01,1000.319884,892.877322,933.8680356
2014-12-02,1023.993277,911.7008067,943.6164089
2014-12-03,990.5757242,895.146484,927.3352836
2014-12-04,991.980341,881.2470584,926.6252553
2014-12-05,982.3261798,873.8144892,918.6209936
2014-12-08,971.0009993,858.6463677,904.4454908
2014-12-09,973.3179103,844.1652175,903.3963516
2014-12-10,980.8073278,848.4740942,910.8919319
2014-12-11,967.7783145,835.2998515,898.6819799
2014-12-12,965.5835809,818.2985804,894.2855303
2014-12-15,950.4720443,772.4843358,873.8884899
2014-12-16,935.7078397,769.4403032,859.8298113
2014-12-17,926.1605967,774.4585959,855.3583803
2014-12-18,932.5341616,789.0320293,863.3473188
2014-12-19,934.6008689,792.317005,867.3115496
2014-12-22,952.0618969,806.1137404,883.1157541
2014-12-23,956.1892222,803.9574219,886.1544097
2014-12-24,965.7969891,807.1468442,890.4001486
2014-12-25,965.3858864,806.9597936,890.3553347
2014-12-26,972.2804638,809.1923803,897.6276952
2014-12-29,975.5798978,814.3323448,902.9230398
2014-12-30,979.5233778,816.4646087,907.9303204
2014-12-31,986.1779519,822.7061071,912.5049455
2015-01-01,986.1779519,822.7061071,912.5049455
2015-01-02,978.2416913,808.9601828,902.019123
2015-01-05,963.9406465,801.9495699,888.9531728
2015-01-06,957.3392671,786.9899271,879.8082726
2015-01-07,958.2160537,782.8179213,876.0266986
2015-01-08,976.2819037,796.7285768,894.5895498
2015-01-09,971.1070683,799.3587641,893.3810065
2015-01-12,971.8064842,799.5272161,892.3848104
2015-01-13,965.6698576,798.0890677,888.4404474
2015-01-14,975.0547293,797.1152361,891.2193073
2015-01-15,973.8233294,802.7707127,891.2240527
2015-01-16,969.4265483,797.4738089,885.0929419
2015-01-19,969.2065234,797.3351769,884.4421978
2015-01-20,961.522936,787.7581228,876.2070223
2015-01-21,963.6918769,790.8233045,879.6817613
2015-01-22,965.6611556,803.627683,886.3378388
2015-01-23,969.037349,803.6147824,888.8910383
2015-01-26,970.0622393,799.8313961,886.8006056
2015-01-27,978.0644224,815.8651048,894.9687417
2015-01-28,974.5969573,820.0636937,893.8171021
2015-01-29,969.2395195,805.5931066,885.0789927
2015-01-30,962.001619,806.2787595,877.2995559
2015-02-02,959.6331651,806.6305475,878.1000427
2015-02-03,958.4949081,805.8531072,876.5199864
2015-02-04,971.5365854,819.9850403,891.8655741
2015-02-05,971.2581562,812.612947,889.9574363
2015-02-06,992.1182947,825.2486673,910.0181597
2015-02-09,978.8130874,823.3409557,898.2271523
